Position x, Position y, Velocity x, Velocity y
-0.0698, -0.0049, -0.0081, -0.0001, 1.2151
-0.0714, -0.0049, -0.0079, -0.0001, 1.2316
-0.0729, -0.0049, -0.0076, -0.0001, 1.2340
-0.0731, -0.0049, -0.0075, -0.0001, 1.2507
-0.0745, -0.0049, -0.0071, -0.0001, 1.2529
-0.0747, -0.0049, -0.0071, 0.0000, 1.2697
-0.0761, -0.0049, -0.0066, 0.0000, 1.2861
-0.0773, -0.0049, -0.0062, 0.0000, 1.2894
-0.0775, -0.0049, -0.0062, 0.0000, 1.3055
-0.0788, -0.0049, -0.0063, 0.0000, 1.3087
-0.0790, -0.0049, -0.0064, 0.0000, 1.3252
-0.0804, -0.0049, -0.0069, 0.0000, 1.3274
-0.0806, -0.0049, -0.0069, 0.0000, 1.3441
-0.0820, -0.0049, -0.0070, 0.0000, 1.3607
-0.0833, -0.0050, -0.0070, 0.0000, 1.3637
-0.0836, -0.0050, -0.0070, 0.0000, 1.3802
-0.0850, -0.0050, -0.0074, 0.0000, 1.3823
-0.0852, -0.0050, -0.0074, 0.0000, 1.3991
-0.0867, -0.0050, -0.0074, 0.0000, 1.4156
-0.0881, -0.0050, -0.0072, 0.0000, 1.4178
-0.0883, -0.0050, -0.0072, 0.0000, 1.4345
-0.0897, -0.0050, -0.0069, 0.0000, 1.4368
-0.0899, -0.0050, -0.0068, 0.0000, 1.4535
-0.0913, -0.0050, -0.0070, 0.0000, 1.4704
-0.0927, -0.0050, -0.0070, 0.0000, 1.4725
-0.0929, -0.0050, -0.0070, 0.0000, 1.4893
-0.0943, -0.0050, -0.0068, 0.0000, 1.4914
-0.0945, -0.0050, -0.0068, 0.0000, 1.5079
-0.0957, -0.0050, -0.0065, 0.0000, 1.5247
-0.0970, -0.0050, -0.0061, 0.0000, 1.5277
-0.0972, -0.0050, -0.0061, 0.0000, 1.5441
-0.0984, -0.0050, -0.0063, 0.0000, 1.5464
-0.0986, -0.0050, -0.0063, 0.0000, 1.5632
-0.0999, -0.0050, -0.0063, 0.0000, 1.5652
-0.1000, -0.0050, -0.0062, 0.0000, 1.5820
-0.1012, -0.0050, -0.0060, 0.0000, 1.5985
-0.1024, -0.0050, -0.0057, 0.0000, 1.6007
-0.1025, -0.0050, -0.0057, 0.0000, 1.6174
-0.1036, -0.0050, -0.0054, 0.0000, 1.6343
-0.1047, -0.0050, -0.0056, 0.0000, 1.6366
-0.1049, -0.0050, -0.0056, 0.0000, 1.6534
-0.1060, -0.0050, -0.0056, 0.0000, 1.6554
-0.1062, -0.0050, -0.0056, 0.0000, 1.6721
-0.1073, -0.0050, -0.0055, 0.0000, 1.6887
-0.1083, -0.0050, -0.0052, 0.0000, 1.6920
-0.1085, -0.0050, -0.0053, 0.0000, 1.7083
-0.1096, -0.0050, -0.0056, 0.0000, 1.7115
-0.1098, -0.0050, -0.0057, 0.0000, 1.7277
-0.1111, -0.0050, -0.0063, 0.0000, 1.7303
-0.1113, -0.0050, -0.0064, 0.0000, 1.7512
-0.1133, -0.0050, -0.0082, 0.0000, 1.7670
-0.1150, -0.0050, -0.0088, 0.0000, 1.7680
-0.1151, -0.0050, -0.0088, 0.0000, 1.7849
-0.1170, -0.0050, -0.0096, 0.0000, 1.8014
-0.1190, -0.0050, -0.0099, 0.0000, 1.8183
-0.1211, -0.0050, -0.0105, 0.0000, 1.8204
-0.1214, -0.0050, -0.0105, 0.0000, 1.8371
-0.1235, -0.0050, -0.0106, 0.0000, 1.8392
-0.1238, -0.0050, -0.0105, 0.0000, 1.8563
-0.1259, -0.0050, -0.0109, 0.0000, 1.8725
-0.1281, -0.0050, -0.0109, 0.0000, 1.8747
-0.1284, -0.0050, -0.0109, 0.0000, 1.8914
-0.1305, -0.0050, -0.0106, 0.0000, 1.8936
-0.1308, -0.0050, -0.0105, 0.0000, 1.9103
-0.1328, -0.0050, -0.0100, 0.0000, 1.9267
-0.1347, -0.0050, -0.0095, 0.0000, 1.9290
-0.1349, -0.0050, -0.0094, 0.0000, 1.9454
-0.1367, -0.0050, -0.0088, 0.0000, 1.9622
-0.1383, -0.0050, -0.0081, 0.0000, 1.9791
-0.1399, -0.0050, -0.0081, 0.0000, 1.9953
-0.1415, -0.0050, -0.0079, 0.0000, 2.0118
-0.1430, -0.0050, -0.0076, 0.0000, 2.0283
-0.1444, -0.0050, -0.0072, 0.0000, 2.0306
-0.1446, -0.0050, -0.0071, 0.0000, 2.0471
-0.1460, -0.0050, -0.0067, 0.0000, 2.0641
-0.1473, -0.0050, -0.0068, 0.0000, 2.0662
-0.1475, -0.0050, -0.0068, 0.0000, 2.0829
-0.1489, -0.0050, -0.0067, 0.0000, 2.0850
-0.1490, -0.0050, -0.0067, 0.0000, 2.1017
-0.1503, -0.0050, -0.0065, 0.0000, 2.1183
-0.1515, -0.0050, -0.0061, 0.0000, 2.1204
-0.1517, -0.0050, -0.0061, 0.0000, 2.1371
-0.1529, -0.0050, -0.0057, 0.0000, 2.1537
-0.1539, -0.0050, -0.0053, 0.0000, 2.1559
