Position x, Position y, Velocity x, Velocity y
-0.8263, 0.0054, 0.0138, -0.0002, 1.1836
-0.8259, 0.0054, 0.0137, -0.0002, 1.2007
-0.8232, 0.0053, 0.0136, -0.0002, 1.2169
-0.8206, 0.0053, 0.0132, -0.0002, 1.2191
-0.8202, 0.0053, 0.0131, -0.0002, 1.2359
-0.8177, 0.0053, 0.0125, -0.0001, 1.2390
-0.8173, 0.0053, 0.0125, -0.0001, 1.2554
-0.8148, 0.0052, 0.0124, -0.0001, 1.2576
-0.8144, 0.0052, 0.0123, -0.0001, 1.2744
-0.8121, 0.0052, 0.0119, -0.0001, 1.2913
-0.8097, 0.0052, 0.0119, -0.0001, 1.3077
-0.8073, 0.0052, 0.0123, -0.0001, 1.3240
-0.8048, 0.0052, 0.0122, -0.0001, 1.3410
-0.8023, 0.0051, 0.0125, -0.0001, 1.3572
-0.7999, 0.0051, 0.0124, -0.0001, 1.3604
-0.7994, 0.0051, 0.0124, -0.0001, 1.3768
-0.7969, 0.0051, 0.0126, -0.0001, 1.3799
-0.7965, 0.0051, 0.0127, -0.0001, 1.3964
-0.7939, 0.0051, 0.0130, -0.0001, 1.3995
-0.7934, 0.0051, 0.0131, -0.0001, 1.4159
-0.7907, 0.0051, 0.0135, 0.0000, 1.4191
-0.7902, 0.0051, 0.0136, 0.0000, 1.4355
-0.7874, 0.0051, 0.0141, 0.0000, 1.4385
-0.7869, 0.0051, 0.0141, -0.0001, 1.4553
-0.7840, 0.0049, 0.0146, -0.0007, 1.4719
-0.7810, 0.0047, 0.0153, -0.0011, 1.4884
-0.7778, 0.0044, 0.0159, -0.0013, 1.5046
-0.7747, 0.0042, 0.0160, -0.0014, 1.5216
-0.7714, 0.0039, 0.0162, -0.0015, 1.5381
-0.7681, 0.0036, 0.0166, -0.0015, 1.5543
-0.7649, 0.0033, 0.0165, -0.0014, 1.5710
-0.7617, 0.0030, 0.0160, -0.0014, 1.5873
-0.7586, 0.0028, 0.0152, -0.0013, 1.5896
-0.7583, 0.0027, 0.0151, -0.0013, 1.6061
-0.7554, 0.0025, 0.0142, -0.0012, 1.6228
-0.7528, 0.0023, 0.0133, -0.0011, 1.6250
-0.7524, 0.0022, 0.0132, -0.0011, 1.6421
-0.7498, 0.0020, 0.0128, -0.0010, 1.6583
-0.7474, 0.0019, 0.0123, -0.0009, 1.6608
-0.7470, 0.0018, 0.0122, -0.0009, 1.6776
-0.7447, 0.0017, 0.0115, -0.0008, 1.6807
-0.7443, 0.0016, 0.0115, -0.0008, 1.6971
-0.7421, 0.0015, 0.0113, -0.0008, 1.7003
-0.7417, 0.0015, 0.0114, -0.0007, 1.7167
-0.7394, 0.0013, 0.0115, -0.0007, 1.7198
-0.7390, 0.0013, 0.0116, -0.0007, 1.7362
-0.7366, 0.0012, 0.0120, -0.0006, 1.7385
-0.7362, 0.0012, 0.0120, -0.0006, 1.7556
-0.7337, 0.0010, 0.0125, -0.0005, 1.7580
-0.7333, 0.0010, 0.0125, -0.0005, 1.7747
-0.7308, 0.0009, 0.0125, -0.0005, 1.7777
-0.7304, 0.0009, 0.0126, -0.0005, 1.7941
-0.7278, 0.0008, 0.0128, -0.0004, 1.8110
-0.7252, 0.0008, 0.0133, -0.0004, 1.8274
-0.7225, 0.0006, 0.0139, -0.0010, 1.8441
-0.7196, 0.0003, 0.0145, -0.0013, 1.8604
-0.7167, 0.0000, 0.0146, -0.0016, 1.8773
-0.7137, -0.0003, 0.0150, -0.0017, 1.8939
-0.7106, -0.0007, 0.0154, -0.0017, 1.9100
-0.7076, -0.0010, 0.0154, -0.0017, 1.9265
-0.7046, -0.0013, 0.0149, -0.0016, 1.9435
-0.7016, -0.0016, 0.0149, -0.0015, 1.9461
-0.7011, -0.0017, 0.0148, -0.0015, 1.9628
-0.6982, -0.0020, 0.0144, -0.0014, 1.9661
-0.6977, -0.0020, 0.0144, -0.0014, 1.9825
-0.6948, -0.0023, 0.0143, -0.0013, 1.9855
-0.6943, -0.0023, 0.0143, -0.0013, 2.0020
-0.6914, -0.0026, 0.0145, -0.0012, 2.0044
