Position x, Position y, Velocity x, Velocity y
0.0949, -0.0063, 0.0050, -0.0017, 1.3064
0.0958, -0.0066, 0.0046, -0.0016, 1.3092
0.0960, -0.0067, 0.0047, -0.0016, 1.3256
0.0970, -0.0071, 0.0049, -0.0021, 1.3273
0.0971, -0.0071, 0.0049, -0.0021, 1.3439
0.0980, -0.0076, 0.0049, -0.0024, 1.3604
0.0990, -0.0081, 0.0047, -0.0025, 1.3625
0.0991, -0.0082, 0.0047, -0.0025, 1.3792
0.1000, -0.0087, 0.0045, -0.0025, 1.3956
0.1008, -0.0092, 0.0043, -0.0025, 1.3977
0.1009, -0.0092, 0.0042, -0.0025, 1.4144
0.1017, -0.0097, 0.0039, -0.0024, 1.4309
0.1025, -0.0102, 0.0037, -0.0022, 1.4320
0.1025, -0.0102, 0.0036, -0.0022, 1.4488
0.1032, -0.0106, 0.0034, -0.0021, 1.4657
0.1039, -0.0110, 0.0037, -0.0019, 1.4819
0.1047, -0.0113, 0.0039, -0.0018, 1.4833
0.1048, -0.0114, 0.0039, -0.0018, 1.5002
0.1055, -0.0117, 0.0039, -0.0016, 1.5165
0.1063, -0.0120, 0.0038, -0.0015, 1.5190
0.1064, -0.0120, 0.0038, -0.0015, 1.5355
0.1073, -0.0123, 0.0049, -0.0014, 1.5520
0.1084, -0.0126, 0.0054, -0.0012, 1.5539
0.1086, -0.0126, 0.0055, -0.0012, 1.5705
0.1097, -0.0128, 0.0057, -0.0011, 1.5872
0.1108, -0.0130, 0.0057, -0.0010, 1.5903
0.1110, -0.0131, 0.0058, -0.0010, 1.6066
0.1123, -0.0132, 0.0062, -0.0009, 1.6075
0.1124, -0.0133, 0.0062, -0.0009, 1.6242
0.1136, -0.0134, 0.0064, -0.0008, 1.6255
0.1137, -0.0134, 0.0064, -0.0008, 1.6426
0.1152, -0.0136, 0.0076, -0.0007, 1.6447
0.1155, -0.0136, 0.0076, -0.0007, 1.6614
0.1171, -0.0137, 0.0082, -0.0007, 1.6634
0.1173, -0.0137, 0.0082, -0.0007, 1.6801
0.1190, -0.0139, 0.0083, -0.0006, 1.6965
0.1206, -0.0140, 0.0082, -0.0005, 1.6975
0.1207, -0.0140, 0.0081, -0.0005, 1.7141
0.1222, -0.0141, 0.0078, -0.0005, 1.7150
0.1223, -0.0141, 0.0078, -0.0005, 1.7321
0.1239, -0.0142, 0.0080, -0.0004, 1.7341
0.1242, -0.0142, 0.0080, -0.0004, 1.7509
0.1257, -0.0143, 0.0080, -0.0004, 1.7675
0.1273, -0.0143, 0.0077, -0.0004, 1.7704
0.1275, -0.0143, 0.0078, -0.0003, 1.7869
0.1291, -0.0144, 0.0080, -0.0003, 1.7892
0.1294, -0.0144, 0.0080, -0.0003, 1.8060
0.1309, -0.0145, 0.0079, -0.0003, 1.8081
0.1312, -0.0145, 0.0079, -0.0003, 1.8249
0.1328, -0.0145, 0.0082, -0.0003, 1.8417
0.1346, -0.0146, 0.0089, -0.0002, 1.8438
0.1348, -0.0146, 0.0089, -0.0002, 1.8607
0.1366, -0.0146, 0.0091, -0.0002, 1.8638
0.1370, -0.0146, 0.0092, -0.0002, 1.8802
0.1389, -0.0147, 0.0096, -0.0002, 1.8818
0.1391, -0.0147, 0.0096, -0.0002, 1.8985
0.1410, -0.0147, 0.0097, -0.0002, 1.9152
0.1429, -0.0147, 0.0094, -0.0001, 1.9185
0.1433, -0.0147, 0.0095, -0.0001, 1.9351
0.1453, -0.0148, 0.0103, -0.0001, 1.9372
0.1456, -0.0148, 0.0103, -0.0001, 1.9540
0.1477, -0.0148, 0.0106, -0.0001, 1.9705
0.1498, -0.0148, 0.0104, -0.0001, 1.9874
0.1519, -0.0148, 0.0107, -0.0001, 2.0037
0.1540, -0.0148, 0.0107, -0.0001, 2.0206
0.1562, -0.0149, 0.0110, -0.0001, 2.0366
0.1584, -0.0149, 0.0109, -0.0001, 2.0374
0.1585, -0.0149, 0.0109, -0.0001, 2.0546
0.1607, -0.0149, 0.0112, -0.0001, 2.0709
0.1631, -0.0149, 0.0117, -0.0001, 2.0873
0.1654, -0.0149, 0.0118, -0.0001, 2.0891
0.1657, -0.0149, 0.0119, -0.0001, 2.1057
0.1681, -0.0149, 0.0122, 0.0000, 2.1222
0.1705, -0.0149, 0.0121, 0.0000, 2.1243
0.1708, -0.0149, 0.0121, 0.0000, 2.1410
0.1732, -0.0149, 0.0117, 0.0000, 2.1578
0.1755, -0.0149, 0.0118, 0.0000, 2.1609
0.1759, -0.0149, 0.0118, 0.0000, 2.1770
0.1783, -0.0149, 0.0122, 0.0000, 2.1794
0.1787, -0.0149, 0.0121, 0.0000, 2.1957
0.1810, -0.0149, 0.0120, 0.0000, 2.2128
0.1835, -0.0150, 0.0123, 0.0000, 2.2149
0.1839, -0.0150, 0.0122, 0.0000, 2.2316
0.1863, -0.0150, 0.0120, 0.0000, 2.2339
0.1866, -0.0150, 0.0120, 0.0000, 2.2506
0.1889, -0.0150, 0.0115, 0.0000, 2.2671
0.1911, -0.0150, 0.0110, 0.0000, 2.2690
0.1913, -0.0150, 0.0110, 0.0000, 2.2856
0.1935, -0.0150, 0.0109, 0.0000, 2.3024
0.1957, -0.0150, 0.0112, 0.0000, 2.3033
0.1959, -0.0150, 0.0112, 0.0000, 2.3200
0.1981, -0.0150, 0.0111, 0.0000, 2.3210
0.1982, -0.0150, 0.0111, 0.0000, 2.3375
0.2004, -0.0150, 0.0107, 0.0000, 2.3386
0.2005, -0.0150, 0.0107, 0.0000, 2.3552
0.2025, -0.0150, 0.0102, 0.0000, 2.3562
0.2027, -0.0150, 0.0102, 0.0000, 2.3730
0.2047, -0.0150, 0.0102, 0.0000, 2.3749
0.2049, -0.0150, 0.0102, 0.0000, 2.3916
0.2069, -0.0150, 0.0099, 0.0000, 2.4086
0.2089, -0.0150, 0.0101, 0.0000, 2.4247
0.2110, -0.0150, 0.0106, 0.0000, 2.4256
0.2112, -0.0150, 0.0106, 0.0000, 2.4423
0.2133, -0.0150, 0.0107, 0.0000, 2.4589
0.2154, -0.0150, 0.0105, 0.0000, 2.4612
0.2157, -0.0150, 0.0104, 0.0000, 2.4776
0.2176, -0.0150, 0.0100, 0.0000, 2.4797
0.2179, -0.0150, 0.0100, 0.0000, 2.4961
0.2199, -0.0150, 0.0101, 0.0000, 2.5128
0.2218, -0.0150, 0.0098, 0.0000, 2.5137
0.2220, -0.0150, 0.0098, 0.0000, 2.5305
0.2238, -0.0150, 0.0094, 0.0000, 2.5470
0.2256, -0.0150, 0.0089, 0.0000, 2.5933
0.2273, -0.0150, 0.0084, 0.0000, 2.6005
0.2304, -0.0150, 0.0071, 0.0000, 2.6170
0.2317, -0.0150, 0.0066, 0.0000, 2.6178
0.2318, -0.0150, 0.0065, 0.0000, 2.6346
0.2330, -0.0150, 0.0060, 0.0000, 2.6368
0.2332, -0.0150, 0.0059, 0.0000, 2.6535
0.2342, -0.0150, 0.0054, 0.0000, 2.6557
0.2344, -0.0150, 0.0054, 0.0000, 2.6723
0.2354, -0.0150, 0.0049, 0.0000, 2.6890
0.2363, -0.0150, 0.0045, 0.0000, 2.6904
0.2363, -0.0150, 0.0044, 0.0000, 2.7070
0.2371, -0.0150, 0.0040, 0.0000, 2.7236
0.2379, -0.0150, 0.0037, 0.0000, 2.7256
